Species,State
Korsaranthus_sp,0
Oulactis_muscosa,0
Actinostephanus_haeckeli,0
Bellactis_ilkalyseae,0
Capnea_georgiana,0
Chondrophellia_sp,0
Cricophorus_nutrix,0
Paracalliactis_sp,0
Paraphelliactis_sp,0
Acraspedanthus_ferax,0
Acraspedanthus_sp,0
Actinauge_richardi,0
Actinernus_elongatus,0
Actinia_fragacea,0
Actinia_tenebrosa,0
Actinoscyphia_plebeia,0
Actinostola_crassicornis,0
Actinostola_georgiana,0
Actinothoe_sphyrodeta,0
Adamsia_palliata,0
Aiptasia_couchii,0
Aiptasia_mutabilis,0
Aiptasia_pulchella,0
Aiptasiogeton_hyalinus,0
Alicia_mirabilis,0
Alicia_sansibarensis,0
Allantactis_parasitica,0
Alvinactis_chessi,0
Amphianthus_sp,0
Andvakia_boniensis,0
Andvakia_discipulorum,0
Anemonia_viridis,0
Antholoba_achates,0
Anthopleura_artemisia,0
Anthopleura_atodai,0
Anthopleura_elegantissima,0
Anthopleura_handi,0
Anthopleura_krebsi,0
Anthopleura_kurogane,0
Anthopleura_rosea,0
Anthosactis_janmayeni,0
Anthosactis_pearseae,0
Anthostella_stephensoni,0
Anthothoe_chilensis,0
Antipodactis_awii,0
Aulactinia_incubans,0
Aulactinia_marplatensis,0
Aulactinia_sp,0
Aulactinia_stella,0
Aulactinia_vancouverensis,0
Aulactinia_veratra,0
Aulactinia_verrucosa,0
Bartholomea_annulata,0
Bathyphellia_australis,0
Bolocera_kerguelensis,0
Boloceroides_mcmurrichi,0
Bunodactis_reynaudi,0
Bunodosoma_grandis,0
Cactosoma_sp,0
Calliactis_japonica,0
Calliactis_parasitica,0
Calliactis_polypus,0
Calliactis_tricolor,0
Cereus_herpetodes,0
Cereus_pedunculatus,0
Charisea_saxicola,0
Cyananthea_hourdezi,0
Dactylanthus_antarcticus,0
Diadumene_cincta,0
Diadumene_leucolena,0
Diadumene_sp,0
Edwardsia_elegans,0
Edwardsia_japonica,0
Edwardsia_timida,0
Edwardsianthus_gilbertensis,0
Edwardsiidae_sp,0
Epiactis_australiensis,0
Epiactis_fernaldi,0
Epiactis_georgiana,0
Epiactis_handi,0
Epiactis_japonica,0
