species,state
Acropora_digitifera_XP_015752574.1_PREDICTED_melanopsinAlike,0
Acropora_digitifera_XP_015753551.1_PREDICTED_melanopsinlike,0
Acropora_digitifera_XP_015753552.1_PREDICTED_melanopsinlike,0
Acropora_digitifera_XP_015764657.1_PREDICTED_melanopsinlike,0
Acropora_digitifera_XP_015775460.1_PREDICTED_melanopsinlike,0
Acropora_palmata_L0ATA4_xenopsin,0
Acropora_palmata_L0AUA8_xenopsin,0
Aiptasia_pallida_1434,0
Aiptasia_pallida_1596,0
Aiptasia_pallida_1855,0
Aiptasia_pallida_1862,0
Alatina_alata_256,0&1
Alatina_alata_260,0&1
Alatina_alata_5200,0&1
Alatina_alata_5205,0&1
Anthopleura_elegantissima_295,0
Anthopleura_elegantissima_325,0
Anthopleura_elegantissima_353,0
Anthopleura_elegantissima_565,0
Aurelia_aurita_664,0&1
Aurelia_aurita_684,0&1
Aurelia_aurita_689,0&1
Aurelia_aurita_705,0&1
Aurelia_aurita_707,0&1
Aurelia_aurita_773,0&1
Aurelia_aurita_776,0&1
Aurelia_aurita_778,0&1
Aurelia_aurita_804,0&1
Bunodosoma_cavernata_2052,0
Carybdea_rastonii_BAG80696,1
Cladonema_radiatum_A9CR18_CropB1,0
Cladonema_radiatum_A9CR24_CropB4,0
Cladonema_radiatum_A9CR26_CropM,0
Cladonema_radiatum_A9CR28_CropO,0
Cladonema_radiatum_A9CR30_CropC,0
Cladonema_radiatum_A9CR32_CropE,0
Cladonema_radiatum_A9CR34_CropD,0
Cladonema_radiatum_A9CR36_CropH,0
Cladonema_radiatum_A9CR37_CropI,0
Cladonema_radiatum_A9CR38_CropL,0&1
Cladonema_radiatum_A9CR39_CropF,0&1
Cladonema_radiatum_A9CR40_CropG1,1
Cladonema_radiatum_A9CR42_CropG2,0&1
Cladonema_radiatum_A9CR43_CropN1,1
Cladonema_radiatum_A9CR48_CropK1,1
Cladonema_radiatum_A9CR51_CropK2,0&1
Cladonema_radiatum_A9CR54_CropJ,0&1
Craterolophus_convolvulus_5261,0
Favia_lizardensis_875,0
Haliclystus_auricula_4910,0
Haliclystus_auricula_4917,0
Hydra_magnipapillata_1090,0
Hydra_magnipapillata_1094,0
Hydra_magnipapillata_1100,0
Hydra_magnipapillata_1101,0
Hydra_magnipapillata_1106,0
Hydra_magnipapillata_1113,0
Hydra_magnipapillata_1115,0
Hydra_magnipapillata_1116,0
Hydra_magnipapillata_1129,0
Hydra_magnipapillata_1135,0
Hydra_magnipapillata_1137,0
Hydra_oligactis_1085,0
Hydra_oligactis_1088,0
Hydra_oligactis_1089,0
Hydra_vulgaris_1164,0
Hydra_vulgaris_1183,0
Hydra_vulgaris_1185,0
Hydra_vulgaris_1188,0
Hydra_vulgaris_1189,0
Hydra_vulgaris_1190,0
Hydra_vulgaris_1191,0
Hydra_vulgaris_1193,0
Hydra_vulgaris_1194,0
Hydra_vulgaris_1200,0
Hydra_vulgaris_1202,0
Hydra_vulgaris_1206,0
Hydra_vulgaris_1218,0
Hydra_vulgaris_1222,0
Hydra_vulgaris_1231,0
Hydra_vulgaris_1243,0
Hydra_vulgaris_F1LIN8_xenopsin,0
Hydra_vulgaris_F1LIN9_xenopsin,0
Hydra_vulgaris_F1LIP0_xenopsin,0
Hydra_vulgaris_F1LIP1_xenopsin,0
Hydra_vulgaris_F1LIP2_xenopsin,0
Hydra_vulgaris_F1LIP3_xenopsin,0
Hydra_vulgaris_F1LIP4_xenopsin,0
Hydra_vulgaris_F1LIP5_xenopsin,0
Hydra_vulgaris_XP_002160448.1_PREDICTED_pinopsinlike,0
Hydra_vulgaris_XP_002163209.2_PREDICTED_longwavesensitive_opsin_1like,0
Hydra_vulgaris_XP_002163327.1_PREDICTED_melanopsinAlike,0
Hydra_vulgaris_XP_002163358.2_PREDICTED_mediumwavesensitive_opsin_1like,0
Hydra_vulgaris_XP_004205844.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_004208213.1_PREDICTED_rhodopsin_G0coupledlike,0
Hydra_vulgaris_XP_004209180.1_PREDICTED_pinopsinlike,0
Hydra_vulgaris_XP_012555848.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012556650.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012556969.1_PREDICTED_rhodopsinlike,0
Hydra_vulgaris_XP_012557437.1_PREDICTED_opsin3likepartial_,0
Hydra_vulgaris_XP_012557991.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012559098.1_PREDICTED_pinopsinlikepartial_,0
Hydra_vulgaris_XP_012559708.1_PREDICTED_rhodopsin_G0coupledlike,0
Hydra_vulgaris_XP_012560188.1_PREDICTED_rhodopsin_G0coupledlike,0
Hydra_vulgaris_XP_012560869.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012561008.1_PREDICTED_rhodopsin_G0coupledlike,0
Hydra_vulgaris_XP_012561250.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012561431.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012561474.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012561673.1_PREDICTED_parapinopsinlike,0
Hydra_vulgaris_XP_012561930.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012562542.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012562617.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012562923.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012563654.1_PREDICTED_rhodopsin_G0coupledlike,0
Hydra_vulgaris_XP_012563781.1_PREDICTED_rhodopsin_G0coupledlike,0
Hydra_vulgaris_XP_012563909.1_PREDICTED_parapinopsinlike,0
Hydra_vulgaris_XP_012564259.1_PREDICTED_opsin3like,0
Hydra_vulgaris_XP_012564631.1_PREDICTED_opsin3like,0
Hydractinia_symbiolongicarpus_1011,0
Hydractinia_symbiolongicarpus_1017,0
Lucernaria_quadricornis_4943,0
Lucernaria_quadricornis_4944,0
Lucernaria_quadricornis_4948,0
Lucernaria_quadricornis_4949,0
Lucernaria_quadricornis_4955,0
Lucernaria_quadricornis_4959,0
Millepora_alcicornis_2441,0
Millepora_alcicornis_2446,0
Millepora_alcicornis_2454,0
Nanomia_bijuga_5645,0
Nanomia_bijuga_5646,0
Nanomia_bijuga_5648,0
Nematostella_vectensis_2484,0
Nematostella_vectensis_2485,0
Nematostella_vectensis_2488,0
Nematostella_vectensis_2560,0
Nematostella_vectensis_2561,0
Nematostella_vectensis_3116,0
Nematostella_vectensis_3117,0
Nematostella_vectensis_3118,0
Nematostella_vectensis_3119,0
Nematostella_vectensis_3260,0
Nematostella_vectensis_3289,0
Nematostella_vectensis_3291,0
Nematostella_vectensis_3292,0
Nematostella_vectensis_3293,0
Nematostella_vectensis_3417,0
Nematostella_vectensis_3463,0
Nematostella_vectensis_A9UMW6_xenopsin,0
Nematostella_vectensis_A9UMW7_xenopsin,0
Nematostella_vectensis_A9UMX0_xenopsin,0
Nematostella_vectensis_A9UMX1_xenopsin,0
Nematostella_vectensis_A9UMX2_xenopsin,0
Nematostella_vectensis_A9UMX3_xenopsin,0
Nematostella_vectensis_A9UMX5_xenopsin,0
Nematostella_vectensis_A9UMX6_xenopsin,0
Nematostella_vectensis_A9UMX7_xenopsin,0
Orbicella_faveolata_XP_020607308.1_melanopsinlike,0
Orbicella_faveolata_XP_020608729.1_melanopsinlike,0
Orbicella_faveolata_XP_020610777.1_melanopsinlike,0
Orbicella_faveolata_XP_020610779.1_melanopsinBlike,0
Orbicella_faveolata_XP_020610780.1_melanopsinlike,0
Orbicella_faveolata_XP_020611806.1_melanopsinlike,0
Orbicella_faveolata_XP_020617662.1_melanopsinAlike,0
Orbicella_faveolata_XP_020629279.1_melanopsinAlike,0
Orbicella_faveolata_XP_020629280.1_LOW_QUALITY_PROTEIN_pinopsinlike,0
Orbicella_faveolata_XP_020632135.1_parapinopsinlike,0
Pocillopora_damicornis_3554,0
Pocillopora_damicornis_3623,0
Pocillopora_damicornis_3690,0
Pocillopora_damicornis_3753,0
Podocoryna_carnea_3788,0
Podocoryna_carnea_3794,0
Podocoryna_carnea_3810,0
Podocoryna_carnea_3811,0
Podocoryna_carnea_5674,0
Podocoryna_carnea_5686,0
Podocoryna_carnea_5692,0
Podocoryna_carnea_5702,0
Podocoryna_carnea_A9CR57_xenopsin,0
Podocoryna_carnea_A9CR60_xenopsin,0
Porites_astreoides_3875,0
Porites_astreoides_3952,0
Porites_astreoides_4131,0
Porites_astreoides_4183,0
Porites_astreoides_4236,0
Porites_astreoides_4399,0
Porites_astreoides_4429,0
Porites_astreoides_4430,0
Porites_astreoides_4431,0
Protopalythoa_variabilis_4495,0
Renilla_koellikeri_5081,0
Renilla_koellikeri_5101,0
Renilla_koellikeri_5175,0
Rhizotrochus_sp_5841,0
Rhopilema_esculentum_4586,0&1
Rhopilema_esculentum_4587,0&1
Rhopilema_esculentum_4616,0&1
Rhopilema_esculentum_4679,0&1
Stomphia_coccinea_2336,0
Stylophora_pistillata_4700,0
Stylophora_pistillata_4735,0
Triactis_producta_2428,0
Tripedalia_cystophora_A0A059NTC5_xenopsin,0
Tripedalia_cystophora_A0A059NTC6_xenopsin,0
Tripedalia_cystophora_A0A059NTC7_xenopsin,0
Tripedalia_cystophora_A0A059NTC8_xenopsin,0
Tripedalia_cystophora_A0A059NTD1_xenopsin,0
Tripedalia_cystophora_A0A059NTD2_xenopsin,0
Tripedalia_cystophora_A0A059NTD3_xenopsin,0
Tripedalia_cystophora_A0A059NTD4_xenopsin,0
Tripedalia_cystophora_A0A059NTD5_xenopsin,0
Tripedalia_cystophora_A0A059NTD6_xenopsin,0
Tripedalia_cystophora_A0A059NTD7_xenopsin,0
Tripedalia_cystophora_A0A059NTG1_xenopsin,0
Tripedalia_cystophora_A0A059NTG2_xenopsin,0
Tripedalia_cystophora_A0A059NTG3_xenopsin,0
Tripedalia_cystophora_A0A059NTG7_xenopsin,1
Tripedalia_cystophora_A0A059NTG8_xenopsin,0
Tripedalia_cystophora_A0A059NTG9_xenopsin,0
Tripedalia_cystophora_EU310498_xenopsin,0
